round,cumulative_trusted_ratio
0,0.3333
1,0.125
2,0.1
3,0.1667
4,0.1429
5,0.1333
6,0.1579
7,0.2083
8,0.2692
9,0.303
10,0.3235
11,0.3143
12,0.3077
13,0.2927
14,0.2857
15,0.2727
16,0.2766
17,0.2857
18,0.28
19,0.2642
20,0.2593
21,0.2632
22,0.2833
23,0.2941
24,0.2973
25,0.2895
26,0.2949
27,0.3
28,0.2927
29,0.2892
30,0.2976
31,0.2941
32,0.2841
33,0.2889
34,0.2796
35,0.2812
36,0.2887
37,0.2828
38,0.2885
39,0.2925
40,0.3
41,0.319
42,0.3136
43,0.3109
44,0.3115
45,0.32
46,0.3175
47,0.3203
48,0.3178
49,0.3154
50,0.3015
51,0.2958
52,0.2877
53,0.28
54,0.281
55,0.2739
56,0.2722
57,0.2767
58,0.2727
59,0.2765
60,0.2775
61,0.2793
62,0.2762
63,0.2732
64,0.2811
65,0.2819
66,0.276
67,0.2746
68,0.2764
69,0.2786
70,0.2745
71,0.2718
72,0.2762
73,0.2857
74,0.2831
75,0.2896
76,0.2933
77,0.3013
78,0.3
79,0.2961
80,0.2991
81,0.2966
82,0.2958
83,0.2967
84,0.2944
85,0.2937
86,0.2969
87,0.2957
88,0.2934
89,0.2939
90,0.2966
91,0.2948
92,0.2952
93,0.2867
94,0.2857
95,0.2842
96,0.2837
97,0.2818
98,0.2808
99,0.2833
100,0.2876
101,0.2867
102,0.2857
103,0.2876
104,0.2922
105,0.2894
106,0.2866
107,0.2888
108,0.2862
109,0.2818
110,0.2831
111,0.2814
112,0.2827
113,0.2811
114,0.2794
115,0.2778
116,0.2746
117,0.2756
118,0.2745
119,0.273
120,0.2707
121,0.2712
122,0.2717
123,0.2722
124,0.2727
125,0.2706
126,0.2718
127,0.273
128,0.2701
129,0.2711
130,0.2697
131,0.269
132,0.2684
133,0.2688
134,0.2675
