round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
101,0.5576,0.4299,0.5676,0.7178,0.7453,0.825
102,0.5488,0.4043,0.5648,0.7296,0.7587,0.8333
103,0.5412,0.3687,0.5539,0.7311,0.7569,0.8293
104,0.5422,0.3335,0.5416,0.7311,0.7561,0.8335
105,0.5485,0.2985,0.5392,0.7326,0.755,0.8306
106,0.5479,0.2799,0.5334,0.7364,0.7643,0.8325
107,0.552,0.2566,0.5404,0.7372,0.7603,0.8273
108,0.5408,0.2348,0.5433,0.7318,0.7541,0.8244
109,0.5424,0.2126,0.5586,0.734,0.7487,0.8222
110,0.5455,0.1926,0.5706,0.7354,0.7477,0.8188
111,0.5475,0.1811,0.57,0.7443,0.7488,0.8187
112,0.546,0.1744,0.5782,0.7481,0.7459,0.8156
113,0.5541,0.1736,0.5765,0.7367,0.729,0.8057
114,0.5529,0.165,0.5917,0.7389,0.7312,0.8009
115,0.5474,0.1621,0.5981,0.7456,0.7299,0.8015
116,0.5367,0.1594,0.6142,0.7344,0.7182,0.7974
117,0.5375,0.1554,0.6113,0.7365,0.7116,0.7951
118,0.5428,0.1507,0.5973,0.7303,0.7131,0.7998
119,0.5454,0.147,0.592,0.7376,0.7164,0.8008
120,0.5378,0.1426,0.5755,0.7361,0.7112,0.8008
121,0.5333,0.1371,0.5815,0.7301,0.7051,0.7974
122,0.5498,0.1334,0.5776,0.7259,0.705,0.7988
123,0.5563,0.1232,0.578,0.7443,0.724,0.8099
124,0.5571,0.1189,0.5629,0.74,0.7187,0.8082
125,0.562,0.1142,0.5481,0.7379,0.7271,0.8105
126,0.5771,0.1068,0.5468,0.7477,0.7358,0.8143
127,0.5725,0.1011,0.5442,0.7516,0.7378,0.8154
128,0.5814,0.0964,0.5571,0.7585,0.7386,0.819
129,0.573,0.0918,0.5496,0.7601,0.7405,0.8133
130,0.5824,0.0914,0.5585,0.7621,0.7351,0.8124
131,0.5817,0.1095,0.5474,0.7573,0.7327,0.8136
132,0.5747,0.1034,0.5556,0.7562,0.735,0.8161
133,0.5666,0.1127,0.5731,0.7542,0.7425,0.8181
134,0.5774,0.1177,0.5698,0.7496,0.7473,0.8169
135,0.5823,0.1146,0.5868,0.7525,0.7459,0.8136
136,0.569,0.1227,0.5884,0.7509,0.7465,0.8146
137,0.5678,0.1274,0.5924,0.7475,0.7553,0.8201
138,0.5553,0.1272,0.5933,0.7476,0.7552,0.8092
139,0.5637,0.1214,0.6067,0.7374,0.7501,0.8133
140,0.562,0.1145,0.6032,0.7315,0.7509,0.8077
141,0.5716,0.087,0.6052,0.7302,0.7475,0.8007
142,0.5593,0.0827,0.5786,0.6957,0.7208,0.7964
143,0.558,0.0659,0.5577,0.6876,0.7048,0.7921
144,0.5372,0.0522,0.5607,0.6852,0.6986,0.7962
