round,cumulative_trusted_ratio
0,0.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.6667
6,0.6667
7,0.8
8,0.8
9,0.8
10,0.8333
11,0.875
12,0.8796
13,0.8172
14,0.8048
15,0.8155
16,0.8275
17,0.7964
18,0.7964
19,0.8188
20,0.8274
21,0.8253
22,0.8395
23,0.8498
24,0.8601
25,0.8693
26,0.8595
27,0.8705
28,0.8511
29,0.8661
30,0.8713
31,0.8784
32,0.8732
33,0.8764
34,0.8753
35,0.8831
36,0.8894
37,0.895
38,0.8996
39,0.9073
40,0.9161
41,0.9201
42,0.9146
43,0.9191
44,0.9217
45,0.9229
46,0.9252
47,0.9292
48,0.9333
49,0.9388
50,0.9363
51,0.9373
52,0.936
53,0.9363
54,0.9375
55,0.9366
56,0.9391
57,0.9364
58,0.9363
59,0.9387
60,0.9413
61,0.9402
62,0.9392
63,0.9418
64,0.942
65,0.9401
66,0.9431
67,0.9428
68,0.9441
69,0.9398
70,0.9398
71,0.9417
72,0.9432
73,0.9456
74,0.9471
75,0.948
76,0.9426
77,0.9444
78,0.9439
79,0.9421
80,0.942
81,0.9406
82,0.9419
83,0.941
84,0.9409
85,0.9432
86,0.94
87,0.9417
88,0.94
89,0.9401
90,0.938
91,0.9365
92,0.9377
93,0.938
94,0.9395
95,0.9406
96,0.9404
97,0.9412
98,0.9403
99,0.9409
100,0.9407
101,0.9396
102,0.9406
103,0.9411
104,0.9424
105,0.9419
106,0.9397
107,0.9402
108,0.9397
