round,cumulative_trusted_ratio
0,1.0
1,0.5
2,0.3333
3,0.25
4,0.3333
5,0.2857
6,0.25
7,0.3
8,0.3636
9,0.4615
10,0.4286
11,0.5
12,0.5294
13,0.5714
14,0.5909
15,0.56
16,0.5385
17,0.5172
18,0.5
19,0.5152
20,0.5294
21,0.5278
22,0.5
23,0.525
24,0.4884
25,0.5111
26,0.54
27,0.5472
28,0.5763
29,0.5556
30,0.5692
31,0.5821
32,0.5652
33,0.5694
34,0.5541
35,0.575
36,0.5663
37,0.5529
38,0.5393
39,0.5
40,0.4857
41,0.4636
42,0.4561
43,0.4333
44,0.4274
45,0.4462
46,0.4361
47,0.4286
48,0.411
49,0.4403
50,0.4545
51,0.4706
52,0.456
53,0.4486
54,0.456
55,0.45
56,0.445
57,0.4486
58,0.4439
59,0.4506
60,0.4527
61,0.4528
62,0.4487
63,0.4599
64,0.4681
65,0.4542
66,0.4625
67,0.465
68,0.4673
69,0.4695
70,0.4602
71,0.4672
72,0.475
73,0.4814
74,0.4845
75,0.4875
76,0.5024
77,0.5035
78,0.5046
79,0.509
80,0.5142
81,0.5074
82,0.499
83,0.5
84,0.497
85,0.5049
86,0.4971
87,0.5
88,0.5064
89,0.508
90,0.5122
91,0.5178
92,0.5166
93,0.5147
94,0.5199
95,0.5242
96,0.5237
97,0.5272
98,0.5261
99,0.5249
100,0.5252
101,0.5277
102,0.5257
103,0.5204
104,0.5107
105,0.5099
106,0.5064
107,0.5088
108,0.5106
