round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
101,0.5545,0.5959,0.5947,0.72,0.7531,0.7988
102,0.553,0.5904,0.5943,0.7209,0.7539,0.7994
103,0.5522,0.5857,0.594,0.721,0.7543,0.7994
104,0.5522,0.583,0.5946,0.7215,0.7547,0.7996
105,0.5528,0.5808,0.5952,0.7219,0.7543,0.7996
106,0.5526,0.5784,0.594,0.7219,0.7543,0.7984
107,0.5533,0.5757,0.5938,0.7231,0.7542,0.7981
108,0.5524,0.573,0.5936,0.7239,0.754,0.7976
109,0.5524,0.5716,0.594,0.7243,0.7539,0.7976
110,0.5532,0.5697,0.5943,0.7259,0.755,0.7976
111,0.5532,0.5683,0.5935,0.7263,0.7556,0.7974
112,0.5529,0.5675,0.593,0.7269,0.756,0.7974
113,0.5527,0.567,0.5922,0.7266,0.7555,0.797
114,0.5529,0.5666,0.5925,0.7272,0.756,0.7968
115,0.5528,0.5662,0.5937,0.7281,0.7564,0.7966
116,0.5519,0.566,0.5927,0.7279,0.7562,0.7963
117,0.5517,0.5658,0.5921,0.7282,0.756,0.7962
118,0.5524,0.5656,0.5913,0.7283,0.7558,0.796
119,0.5523,0.5656,0.5906,0.7287,0.7558,0.7959
120,0.5519,0.5656,0.5906,0.7292,0.756,0.796
121,0.551,0.5652,0.5902,0.7297,0.7556,0.7958
122,0.5511,0.5646,0.5901,0.7296,0.7556,0.7956
123,0.5517,0.5646,0.5898,0.7299,0.7558,0.7954
124,0.5518,0.5646,0.5898,0.7299,0.7558,0.7952
125,0.5522,0.5646,0.5886,0.7301,0.756,0.7953
126,0.5529,0.5646,0.5891,0.7305,0.7565,0.7952
127,0.5531,0.5646,0.5895,0.7307,0.7564,0.7953
128,0.5529,0.5646,0.5897,0.7308,0.7562,0.7954
129,0.5525,0.5646,0.5887,0.731,0.7566,0.7949
130,0.5529,0.5638,0.5887,0.7312,0.7564,0.7951
131,0.553,0.5636,0.5881,0.7312,0.7562,0.7951
132,0.5533,0.5634,0.5879,0.7307,0.7562,0.7952
133,0.5534,0.5634,0.5881,0.7307,0.7562,0.7952
134,0.5535,0.5633,0.5877,0.7305,0.7559,0.7952
135,0.5537,0.5633,0.5877,0.7308,0.756,0.7953
136,0.554,0.5633,0.5871,0.7308,0.7561,0.7956
137,0.5548,0.5633,0.5876,0.7307,0.7559,0.7959
138,0.5543,0.5633,0.5874,0.7304,0.756,0.7961
139,0.5541,0.5633,0.5873,0.7304,0.7559,0.7962
140,0.5546,0.5632,0.5874,0.7305,0.7559,0.7958
141,0.5544,0.5631,0.5871,0.7306,0.756,0.7953
142,0.5539,0.5631,0.5857,0.7292,0.7545,0.7954
143,0.5539,0.5631,0.5853,0.7292,0.7544,0.7952
144,0.554,0.5631,0.5847,0.7292,0.7543,0.7951
