round,cumulative_trusted_ratio
0,0.45
1,0.7851
2,0.822
3,0.8169
4,0.8215
5,0.8494
6,0.8867
7,0.8824
8,0.9046
9,0.9161
10,0.9198
11,0.9071
12,0.9041
13,0.9114
14,0.9151
15,0.9229
16,0.9096
17,0.9154
18,0.9163
19,0.9139
20,0.9186
21,0.92
22,0.9223
23,0.9229
