round,cumulative_trusted_ratio
0,0.0
1,0.0
2,0.3333
3,0.25
4,0.3333
5,0.2857
6,0.25
7,0.4
8,0.3636
9,0.3077
10,0.3571
11,0.4375
12,0.4118
13,0.4091
14,0.3913
15,0.4231
16,0.4444
17,0.4333
18,0.4194
19,0.4706
20,0.4857
21,0.5135
22,0.5385
23,0.561
24,0.5455
25,0.5652
26,0.5882
27,0.6111
28,0.6167
29,0.6462
30,0.6269
31,0.6429
32,0.6438
33,0.641
34,0.65
35,0.6782
36,0.6813
37,0.6737
38,0.6768
39,0.6916
40,0.7094
41,0.7213
42,0.7188
43,0.7313
44,0.7391
45,0.7383
46,0.7451
47,0.7636
48,0.7701
49,0.7872
50,0.7919
51,0.8
52,0.8111
53,0.8161
54,0.819
55,0.825
56,0.8233
57,0.8242
58,0.8308
59,0.837
60,0.8362
61,0.8328
62,0.8264
63,0.8333
64,0.8333
65,0.8367
66,0.8388
67,0.8404
68,0.8411
69,0.8338
70,0.8382
71,0.8432
72,0.8445
73,0.8378
74,0.8355
75,0.8361
76,0.837
77,0.8362
78,0.8346
79,0.8312
80,0.8342
81,0.8316
82,0.8353
83,0.8325
84,0.8257
85,0.8209
86,0.8196
87,0.8048
88,0.8033
89,0.8012
90,0.7912
91,0.7831
92,0.7805
93,0.7809
94,0.7704
95,0.7643
96,0.7622
97,0.7642
98,0.7674
99,0.7677
100,0.769
101,0.7658
102,0.7585
103,0.7569
104,0.7576
105,0.7588
106,0.7557
107,0.7584
108,0.7599
