round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
82,-25621.4632,7074.2936,12122.112,18019.3794,12983.844,17569.5841
83,-25697.6647,7216.4506,12160.5393,18103.6582,13068.0735,17670.9395
84,-25861.6742,8044.2763,12293.3069,18691.0214,13942.2706,18599.6025
85,-26242.7197,8281.1955,12415.6519,19285.1021,14496.6205,19191.2543
86,-26402.9758,8661.8923,12503.3169,19605.7825,15141.9132,19817.8379
87,-26734.0003,8976.1888,12650.9982,20199.8768,15168.3018,20113.2287
88,-27295.5674,9056.9398,12745.1186,20536.3129,15432.0055,20583.8208
89,-27880.2094,8957.3933,12373.0958,20378.8776,15386.7978,20751.6668
90,-28176.3961,9213.3618,12527.9713,20815.71,15887.4557,21482.6308
91,-28247.0273,9423.215,12658.902,21368.9951,16404.4941,22234.4198
92,-28628.4169,9142.0773,12453.5491,21382.1938,16371.4049,22424.5638
93,-28874.7478,9169.2729,12699.678,21832.8153,16773.8308,23006.9423
94,-29189.9791,9143.1378,12932.9014,22287.6363,16957.7843,23265.6573
95,-29612.7742,8959.8023,12981.795,22614.3109,17305.8305,23738.4456
96,-29821.0993,8555.6871,12839.8573,22897.4979,17562.7618,24099.7001
97,-30192.4931,8044.9021,12833.0307,23181.4659,18016.1322,24701.728
98,-30588.0514,7483.2217,12881.974,23723.6279,18475.6973,25329.3313
99,-30956.88,6824.9039,12611.2612,23928.507,18771.1548,25671.7644
100,-31282.3619,6136.6881,12724.9045,24561.8354,19412.8205,26309.8833
101,-31379.3674,5253.3738,12926.4368,25259.3958,20320.0733,27326.5173
102,-31805.2498,4358.5868,12704.1328,25606.939,20860.6718,27937.7799
103,-32294.1381,3371.0932,12535.9025,25878.3426,21156.4365,28417.8973
104,-32496.1092,2757.4427,12420.3453,26093.2447,21326.3214,28789.1404
105,-32685.0809,1996.0229,12341.5513,26314.3675,21477.3131,29045.9451
106,-32869.2094,1309.8081,12141.9976,26557.7335,21647.444,29498.8306
107,-32970.1704,373.0794,12539.0755,27100.8808,22155.0188,30141.4448
108,-33463.4046,-473.5692,12788.253,27422.8288,22222.7043,30372.2779
109,-33718.1362,-1256.8908,12976.8985,27658.1627,22507.733,30742.0239
110,-33689.9487,-2382.1595,13544.9227,28444.7163,23362.3953,31635.4523
111,-33927.6491,-3128.9709,13562.5008,28875.9443,23630.4713,32052.4994
112,-34259.0634,-3875.5009,13585.7086,29326.3534,23922.0544,32521.0375
113,-34434.9712,-4286.9699,13519.0753,29389.9558,23893.3002,32582.7418
114,-34735.0454,-5042.6194,13584.748,29563.0376,23965.3196,32699.193
115,-35467.5092,-6379.3879,13302.4421,29683.0403,23826.1321,32825.1847
116,-36025.1048,-7265.2828,13185.2788,29650.0255,23733.7285,32985.383
117,-36140.8715,-8075.0438,13317.4881,29950.4527,23665.3872,33388.4703
118,-36445.037,-8909.2081,13084.2424,30120.9291,23920.9499,33821.1883
119,-36604.6813,-9851.6985,13170.6512,30585.428,23886.9555,34106.2452
120,-37128.2243,-10992.5476,12967.6322,30789.4025,23786.71,34433.6278
121,-37545.4129,-12263.8659,13061.7796,30993.4571,24115.8837,34896.729
122,-37667.615,-13244.0416,12948.2308,31180.3959,24376.3608,35390.622
123,-37783.0998,-14124.792,12839.8898,31461.3733,24618.0828,35838.7462
124,-38086.6541,-15206.9621,12676.5085,31782.7484,24805.2346,36278.0169
125,-38377.2164,-15991.5143,12397.8192,31895.1536,24698.4338,36574.2915
126,-38773.5032,-17340.2358,12218.2418,32021.944,24855.7703,37005.3178
127,-38933.4246,-17828.0429,12180.9904,32108.1137,24801.6859,37086.249
128,-39188.311,-18893.5117,12310.1542,32510.7443,25198.7976,37808.7932
129,-39523.766,-19771.5878,12186.1143,32858.3717,25574.2032,38409.9269
130,-39635.7951,-20865.6834,12365.6016,33340.8168,25650.9484,39079.3738
131,-39928.2713,-21683.4788,12274.2809,33419.1893,25735.9427,39545.1161
132,-40276.3344,-22486.1554,12298.2261,33480.0806,25558.3827,39666.497
133,-40572.367,-23103.8836,12433.5656,33638.6496,25584.8138,39824.9179
134,-40645.6537,-23392.7816,12383.4198,33606.6145,25477.4197,39952.4066
135,-40810.128,-24340.4964,12565.2093,33887.5508,25925.0118,40498.4452
136,-41147.1837,-25011.5282,12562.3326,33788.9722,25755.4014,40564.6579
137,-41340.1601,-25846.0444,12807.3644,33752.7517,25835.5671,40948.4511
138,-41605.3186,-26306.3783,12805.4613,33560.8284,25614.8003,41025.7805
139,-41775.7192,-26854.2453,12784.0983,33400.0368,25452.7461,41302.7826
140,-42185.8943,-27808.4677,12624.5776,33219.5995,25374.7622,41373.7995
141,-42303.6073,-28474.0157,12465.6958,33125.6341,25276.8542,41591.117
142,-42590.3773,-29009.5581,12121.6591,32808.3141,25116.3636,41711.6373
143,-42856.3521,-29625.0274,11815.5166,32523.6225,24834.2198,41908.9288
144,-43240.6449,-30294.2479,11641.7394,32184.4617,24719.2633,42090.02
