round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
87,14935.0207,17892.459,18532.635,19858.3878,20113.2287,20485.9231
88,15584.4338,18507.3582,19079.312,20457.3838,20583.8208,20992.4624
89,15747.2736,18665.8688,19268.3034,20640.0383,20751.6668,21157.1164
90,16520.8199,19445.7081,20015.2686,21448.4742,21482.6308,21903.4267
91,17197.8913,20150.1228,20741.9586,22181.731,22234.4198,22668.6766
92,17375.8969,20372.4918,20940.1904,22408.338,22424.5638,22874.7482
93,17923.6026,20918.2465,21479.9729,22963.9895,23006.9423,23484.1607
94,18109.3039,21096.5818,21619.0243,23136.8641,23265.6573,23706.4526
95,18480.717,21495.9181,22068.2531,23626.3544,23738.4456,24196.0175
96,18696.8418,21708.8583,22446.7026,23999.1983,24099.7001,24573.0249
97,19223.7372,22264.8494,23055.1255,24581.0759,24701.728,25124.6523
98,19859.3107,22923.2903,23655.6009,25243.0148,25329.3313,25759.0791
99,20151.4212,23244.8095,24033.5486,25604.6927,25671.7644,26076.5459
100,20630.5969,23755.4273,24515.9045,26170.8112,26309.8833,26663.7122
101,21569.075,24646.8441,25434.6187,27159.9319,27326.5173,27643.2241
102,22113.6876,25205.4738,26009.6522,27780.815,27937.7799,28243.7327
103,22477.5146,25637.6963,26423.817,28248.0711,28417.8973,28728.4904
104,22828.5071,25988.7948,26788.328,28639.1237,28789.1404,29089.7099
105,23024.562,26185.1147,27028.4261,28881.1862,29045.9451,29342.7711
106,23329.3369,26570.6,27366.1767,29247.7327,29498.8306,29681.6542
107,23897.4124,27173.2129,28036.7677,29891.9545,30141.4448,30345.1245
108,24095.1388,27448.942,28315.97,30145.3766,30372.2779,30670.4425
109,24530.1317,27894.2318,28755.2094,30548.2286,30742.0239,31178.3739
110,25324.6243,28772.302,29593.1067,31399.5308,31635.4523,32077.17
111,25485.0896,29046.9605,29954.6941,31773.207,32052.4994,32474.9945
112,25868.1248,29440.6743,30384.0139,32250.1191,32521.0375,32949.2323
113,25943.2274,29517.0289,30457.7689,32320.3578,32582.7418,33020.7875
114,25988.36,29570.3928,30567.0533,32462.6148,32699.193,33156.6005
115,26068.3832,29672.8218,30680.8888,32615.0534,32825.1847,33319.2696
116,26161.7349,29738.8943,30825.5039,32798.955,32985.383,33520.1358
117,26567.7544,30149.5614,31305.8439,33203.2556,33388.4703,33987.9195
118,26932.6328,30493.0531,31684.6186,33585.4775,33821.1883,34415.6195
119,27123.4017,30806.8696,31902.7324,33924.1413,34106.2452,34808.292
120,27382.2601,31077.1616,32256.1728,34209.8582,34433.6278,35196.667
121,27854.4055,31570.4069,32789.3107,34659.6538,34896.729,35686.482
122,28254.9226,32070.6073,33304.0961,35111.1845,35390.622,36223.2715
123,28690.1463,32504.5948,33755.4219,35580.9586,35838.7462,36692.6686
124,29215.7506,33022.4111,34182.9971,36053.7693,36278.0169,37131.5705
125,29398.734,33323.5545,34505.0781,36236.0217,36574.2915,37373.2869
126,29966.6208,33691.0381,34891.4276,36683.1632,37005.3178,37757.4981
127,30007.6363,33772.3894,34956.2761,36773.8511,37086.249,37870.4259
128,30693.7745,34545.5336,35611.1661,37499.3552,37808.7932,38528.7078
129,31254.8534,35098.2805,36166.9808,38103.8625,38409.9269,39146.0303
130,31857.7733,35659.5402,36647.9648,38729.4236,39079.3738,39782.3107
131,32093.6791,35931.6486,37042.9148,39123.2121,39545.1161,40262.6244
132,32019.5724,35940.1647,37038.3806,39219.4195,39666.497,40292.9105
133,32108.1325,36033.6552,37168.3561,39394.1012,39824.9179,40480.5761
134,32198.5298,36180.42,37303.4442,39528.2856,39952.4066,40604.7377
135,32704.3363,36718.2926,37826.406,40077.9128,40498.4452,41171.1725
136,32737.5841,36790.8336,37883.2615,40129.5588,40564.6579,41231.7691
137,33137.8042,37169.3731,38253.3537,40540.5711,40948.4511,41639.5352
138,33243.0693,37390.2578,38428.3975,40721.767,41025.7805,41766.7606
139,33518.4623,37653.8824,38658.6456,41005.4472,41302.7826,42002.2
140,33679.8283,37799.5698,38710.6313,41050.2678,41373.7995,42094.0716
141,33828.1068,37997.9337,38875.2209,41263.689,41591.117,42296.4046
142,33943.4515,38091.4866,38969.4405,41366.9168,41711.6373,42398.6319
143,34100.8391,38262.1262,39136.1671,41568.1939,41908.9288,42593.0999
144,34324.9382,38420.936,39233.9301,41655.7696,42090.02,42705.0421
