round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
99,574.4467,587.5971,597.5832,632.1467,645.3634,614.0398
100,577.9901,588.1249,590.9054,639.9478,647.2104,623.8161
101,523.6408,542.8812,553.6432,601.0112,617.7132,593.8822
102,535.4172,548.7971,550.9559,606.8862,623.4752,602.6328
103,478.793,485.9375,502.5043,542.075,547.2124,535.8118
104,352.0524,384.7512,386.3116,417.5602,434.4627,407.686
105,356.745,393.5478,405.4231,422.2279,440.733,420.2784
106,323.5249,362.2491,378.4306,379.4611,390.8761,388.3904
107,340.3249,381.0874,393.3763,381.821,390.5767,417.7328
108,460.0125,517.4375,512.9361,503.6689,517.9014,546.8798
109,431.1506,495.2721,517.7035,505.0949,510.7338,558.6681
110,394.1425,453.4923,469.4492,471.6329,475.9185,520.8216
111,369.6178,413.6174,428.3598,434.9963,442.0928,470.069
112,291.6457,335.2322,362.3688,382.8772,391.4338,395.6453
113,148.7518,180.104,217.5564,243.1045,237.9465,248.4199
114,135.3291,138.3868,174.162,205.1496,186.5767,209.0283
115,139.9259,141.7774,184.366,190.6273,173.4866,207.7374
116,197.8811,195.2049,245.3699,253.0239,247.6893,278.9664
117,227.0083,247.2954,267.1358,292.3053,281.4104,330.3383
118,262.7754,280.868,315.0568,318.961,321.6886,375.4795
119,338.5341,366.3025,392.7614,372.1398,382.2692,433.2692
120,337.4336,384.2092,399.6504,381.5858,400.4303,447.0704
121,351.5027,402.3084,414.1607,399.0962,403.5116,455.4098
122,418.4698,443.1083,456.053,425.9256,434.3543,464.6557
123,403.2948,449.2786,449.781,405.2327,428.1327,435.324
124,422.4431,424.1263,420.4234,404.7019,421.7177,414.2032
125,350.5428,340.3564,330.436,332.5333,339.1254,329.4309
126,400.7257,408.1878,371.1488,383.6793,394.0094,367.2078
127,407.8206,415.1739,396.7967,410.0186,426.382,402.892
128,491.8079,467.1971,428.5773,498.6804,501.0165,481.8047
129,425.4117,448.1221,430.2974,488.0098,507.9596,501.0253
130,402.3872,433.555,416.4209,489.1137,516.0496,484.4969
131,282.8716,297.6243,311.438,378.9492,403.2249,390.3737
132,188.7353,216.4279,227.2927,284.8846,308.4959,291.7415
133,169.3126,211.7505,235.6882,269.6979,283.8143,277.7724
134,128.781,171.837,168.0693,201.2693,203.9084,193.8289
135,223.6464,245.8417,242.9946,264.2303,256.3908,269.3249
136,226.9874,271.3205,252.0083,265.5331,240.1725,257.2369
137,263.9865,294.6925,271.0402,295.4323,270.0752,279.4925
138,195.0984,216.2554,176.845,194.471,175.0709,184.5798
139,218.1046,241.42,198.3919,226.826,205.2918,212.9271
140,161.1295,184.4227,143.2173,165.2691,152.6372,151.8193
141,171.554,174.3737,141.5539,169.2854,176.6297,165.2678
142,161.2952,153.4107,115.0569,130.0645,157.4475,140.5684
143,161.2775,155.3416,130.8247,151.3755,179.0551,152.7426
144,165.6105,141.0008,119.5697,130.6935,166.301,136.2125
