round,cumulative_trusted_ratio
0,0.7583
1,0.8792
2,0.8926
3,0.9257
4,0.931
5,0.9517
6,0.954
7,0.9603
8,0.9396
9,0.9433
10,0.9466
11,0.9522
12,0.9545
13,0.9567
14,0.9604
15,0.9577
16,0.9586
17,0.9603
18,0.9508
19,0.9525
20,0.9563
21,0.9576
22,0.944
23,0.9448
24,0.9387
25,0.9275
26,0.9155
27,0.9199
28,0.9199
29,0.9206
30,0.9251
31,0.9268
32,0.9276
33,0.928
34,0.9295
35,0.9302
36,0.9324
37,0.9338
38,0.9351
39,0.9363
40,0.937
41,0.936
42,0.9383
43,0.94
44,0.9415
45,0.942
46,0.943
47,0.9444
48,0.9453
49,0.9478
50,0.9494
51,0.9485
52,0.9492
53,0.9503
54,0.9507
55,0.9459
56,0.9434
57,0.9445
58,0.9452
59,0.944
60,0.9375
61,0.937
62,0.9381
63,0.9395
64,0.9402
65,0.9412
66,0.9425
67,0.9429
68,0.9438
69,0.9441
70,0.9457
71,0.9459
72,0.9462
73,0.9473
74,0.9482
75,0.9488
76,0.9484
77,0.9495
78,0.95
79,0.9504
80,0.9513
81,0.9522
82,0.9541
83,0.9543
84,0.9554
85,0.9563
86,0.9568
87,0.9574
88,0.958
89,0.9585
90,0.9588
91,0.959
92,0.959
93,0.9591
94,0.9595
95,0.9599
96,0.9603
97,0.961
98,0.9614
99,0.9619
100,0.9623
101,0.9625
102,0.9627
103,0.9628
104,0.9635
105,0.9638
106,0.9645
107,0.9646
108,0.965
109,0.9651
110,0.9652
111,0.966
112,0.9662
113,0.9665
114,0.9669
115,0.967
116,0.9675
117,0.9677
118,0.9679
119,0.9684
120,0.9687
121,0.9689
122,0.9692
123,0.9694
124,0.9696
125,0.9697
126,0.9701
127,0.9701
