round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
115,0.8251,0.8019,0.7908,0.7812,0.7766,0.7896
116,0.8365,0.8245,0.814,0.8086,0.8021,0.8146
117,0.8353,0.8249,0.8184,0.8067,0.8079,0.8158
118,0.839,0.8259,0.8195,0.8073,0.8101,0.8174
119,0.8375,0.8247,0.8213,0.8096,0.8118,0.8167
120,0.8377,0.8293,0.8198,0.8177,0.8209,0.8176
121,0.8439,0.8308,0.8214,0.8184,0.8178,0.8165
122,0.844,0.8261,0.8131,0.8158,0.8085,0.8093
123,0.8451,0.8293,0.8129,0.8189,0.8109,0.8085
124,0.8513,0.8374,0.8197,0.8249,0.8169,0.8151
125,0.8513,0.8342,0.8156,0.8204,0.8098,0.8154
126,0.8511,0.8381,0.8193,0.8241,0.8202,0.8179
127,0.8496,0.838,0.8149,0.8215,0.8181,0.8146
128,0.8439,0.8296,0.8091,0.8173,0.8139,0.815
129,0.8387,0.8271,0.8052,0.8154,0.8103,0.8125
130,0.8396,0.8335,0.811,0.8248,0.8224,0.8188
131,0.8348,0.8265,0.8035,0.8195,0.8159,0.8166
132,0.8274,0.8218,0.805,0.8197,0.8158,0.8193
133,0.8248,0.8209,0.8043,0.8157,0.8133,0.8132
134,0.8298,0.8245,0.8095,0.8185,0.819,0.8181
135,0.8303,0.8248,0.8122,0.8178,0.8178,0.8174
136,0.8168,0.8112,0.8007,0.8055,0.8026,0.8078
137,0.8291,0.8203,0.8049,0.8112,0.8109,0.8091
138,0.8277,0.8097,0.8002,0.8018,0.8021,0.798
139,0.8076,0.7906,0.7839,0.783,0.7825,0.7793
140,0.8082,0.786,0.7731,0.7742,0.7751,0.7628
141,0.8189,0.7992,0.7788,0.7818,0.7816,0.761
142,0.8218,0.8012,0.7809,0.7796,0.7814,0.7597
143,0.8226,0.8101,0.7825,0.7855,0.7851,0.762
144,0.8484,0.8307,0.7941,0.8014,0.8002,0.7697
