round,trusted_count,unknown_count,malicious_count
0,1426,574,0
1,1426,574,0
2,1427,572,1
3,1427,572,1
4,1427,570,3
5,1428,568,4
6,1428,568,4
7,1428,567,4
8,1429,566,4
9,1432,561,7
10,1432,560,7
11,1434,557,9
12,1435,555,10
13,1438,549,13
14,1439,545,15
15,1444,538,18
16,1444,537,19
17,1444,533,22
18,1444,533,22
19,1447,525,29
20,1450,519,30
21,1451,516,33
22,1452,514,34
23,1454,510,36
24,1455,505,39
25,1456,505,40
26,1460,496,44
27,1461,494,45
28,1465,489,47
29,1468,483,49
30,1470,480,50
31,1471,477,52
32,1475,469,56
33,1477,465,57
34,1478,464,58
35,1480,459,60
36,1481,457,62
37,1484,450,66
38,1487,443,70
39,1489,437,74
40,1490,432,77
41,1492,428,80
42,1495,423,82
43,1496,420,84
44,1497,418,85
45,1500,412,88
46,1502,409,89
47,1504,405,91
48,1504,403,93
49,1509,395,96
50,1511,392,97
51,1512,388,100
52,1514,383,103
53,1516,379,104
54,1519,372,109
55,1521,368,111
56,1523,363,113
57,1525,358,117
58,1530,350,119
59,1533,342,125
60,1536,334,130
61,1539,327,134
62,1543,320,137
63,1547,311,142
64,1550,303,147
65,1553,295,151
66,1558,288,154
67,1564,275,161
68,1570,263,167
69,1576,247,177
70,1582,232,186
71,1586,221,192
72,1593,211,196
73,1598,201,201
74,1602,193,205
75,1609,182,210
76,1612,170,218
77,1619,157,224
78,1625,146,229
79,1629,135,236
80,1633,129,238
81,1636,124,241
82,1640,116,244
83,1644,110,246
84,1645,105,250
85,1647,99,254
86,1650,94,256
87,1651,91,259
88,1656,80,264
89,1658,77,265
90,1659,73,267
91,1661,68,271
92,1662,65,273
93,1665,60,275
94,1668,55,277
95,1669,52,279
96,1670,49,281
97,1671,48,281
98,1672,47,282
99,1674,45,282
100,1675,42,283
101,1677,39,284
102,1678,36,285
103,1679,35,286
104,1682,31,287
105,1682,28,289
106,1682,27,290
107,1683,25,292
108,1683,25,292
