round,trusted_count,unknown_count,malicious_count
0,84,70,2
1,86,66,4
2,87,64,5
3,88,62,6
4,88,60,7
5,90,57,9
6,92,53,11
7,94,49,13
8,95,47,14
9,96,44,16
10,96,43,17
11,97,41,18
12,98,39,19
13,99,37,21
14,101,32,23
15,102,30,24
16,105,23,28
17,107,20,30
18,107,18,30
19,108,16,32
20,109,15,32
21,110,13,34
22,110,12,34
23,110,12,34
