round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
101,0.5728,0.1348,0.6116,0.7552,0.7809,0.8144
102,0.5252,0.1245,0.6083,0.7701,0.7834,0.8159
103,0.5285,0.1158,0.5948,0.7613,0.7895,0.8135
104,0.5243,0.1083,0.6055,0.7681,0.7993,0.8099
105,0.5194,0.101,0.6083,0.7625,0.7836,0.8058
106,0.5253,0.0939,0.5791,0.7584,0.7751,0.7792
107,0.5578,0.0904,0.5825,0.7632,0.7626,0.7668
108,0.5522,0.0835,0.5824,0.7768,0.7506,0.7563
109,0.5568,0.0737,0.5791,0.7751,0.7355,0.7525
110,0.5554,0.0676,0.572,0.7905,0.7569,0.7518
111,0.5601,0.0717,0.5814,0.8045,0.7708,0.7787
112,0.5447,0.0601,0.5724,0.8004,0.7823,0.7836
113,0.5521,0.0578,0.5493,0.7756,0.7682,0.7751
114,0.5515,0.0664,0.547,0.7821,0.7932,0.7686
115,0.5429,0.0661,0.5693,0.7793,0.7872,0.7654
116,0.5205,0.0553,0.5592,0.7637,0.7691,0.7612
117,0.522,0.0508,0.5563,0.758,0.7552,0.7578
118,0.5472,0.0448,0.5658,0.7696,0.7678,0.7697
119,0.541,0.0263,0.5435,0.7626,0.7481,0.7738
120,0.5313,0.0218,0.5156,0.7578,0.7461,0.7811
121,0.5405,0.0231,0.5359,0.7723,0.7451,0.785
122,0.5459,0.054,0.5483,0.7633,0.7483,0.7829
123,0.5445,0.0537,0.5595,0.7728,0.7599,0.7863
124,0.5488,0.0537,0.5726,0.7639,0.7595,0.7821
125,0.5709,0.0488,0.5376,0.7607,0.7623,0.7807
126,0.5939,0.0413,0.5533,0.7619,0.7788,0.7828
127,0.6013,0.0056,0.5658,0.7796,0.7743,0.7906
128,0.5828,0.0,0.5756,0.7755,0.7613,0.7947
129,0.5712,0.0,0.5531,0.7907,0.7751,0.7887
130,0.5652,0.014,0.5892,0.7917,0.7597,0.7916
131,0.5517,0.0631,0.5649,0.779,0.7456,0.7932
132,0.5523,0.0685,0.5497,0.7188,0.7497,0.7935
133,0.5617,0.0994,0.5521,0.7073,0.7549,0.7911
134,0.5781,0.1145,0.5564,0.6544,0.6945,0.8023
135,0.5777,0.1005,0.5554,0.6574,0.7018,0.8008
136,0.5864,0.0514,0.5531,0.6016,0.6996,0.809
137,0.5982,0.046,0.5689,0.5684,0.6897,0.8133
138,0.5711,0.0151,0.5488,0.496,0.705,0.8258
139,0.5564,0.0,0.565,0.4139,0.6973,0.829
140,0.5625,0.0025,0.5671,0.422,0.6982,0.8138
141,0.5517,0.0038,0.5733,0.4868,0.6929,0.7833
142,0.5185,0.0038,0.5064,0.4347,0.6051,0.7802
143,0.5388,0.0038,0.5052,0.3661,0.5246,0.7625
144,0.5483,0.0038,0.4854,0.3389,0.4645,0.7534
