round,M_v=0,M_v=1,M_v=2,M_v=3
126,23187.5311,27580.2915,33504.0239,37005.3178
127,23160.1453,27601.1935,33592.5792,37086.249
128,23559.8397,28120.8967,34311.5248,37808.7932
129,24052.0381,28607.2017,34897.8866,38409.9269
130,24369.2459,29072.7692,35435.5668,39079.3738
131,24620.5315,29408.4569,35791.7362,39545.1161
132,24400.803,29413.0943,35848.9936,39666.497
133,24527.8591,29579.0728,36012.4075,39824.9179
134,24496.8518,29639.7705,36133.4976,39952.4066
135,24857.751,30089.6814,36701.318,40498.4452
136,24442.3088,30038.3994,36735.9053,40564.6579
137,24463.0934,30439.6569,37117.3139,40948.4511
138,24301.9696,30502.784,37238.9085,41025.7805
139,24363.7447,30667.0354,37483.877,41302.7826
140,24363.6995,30716.5919,37569.6608,41373.7995
141,24205.8688,30699.2193,37719.4208,41591.117
142,24061.3322,30762.028,37809.4007,41711.6373
143,24065.1191,30943.8158,38008.092,41908.9288
144,24068.1692,31053.0152,38121.6272,42090.02
