round,cumulative_trusted_ratio
0,0.0
1,0.0
2,0.3333
3,0.25
4,0.3333
5,0.2857
6,0.25
7,0.4
8,0.3636
9,0.3077
10,0.3571
11,0.3125
12,0.2941
13,0.2727
14,0.2609
15,0.2692
16,0.2963
17,0.2667
18,0.2581
19,0.2941
20,0.2857
21,0.2973
22,0.2821
23,0.3171
24,0.3182
25,0.3478
26,0.3137
27,0.2963
28,0.3
29,0.3077
30,0.2985
31,0.3
32,0.3014
33,0.3205
34,0.325
35,0.3218
36,0.3297
37,0.3158
38,0.3333
39,0.3178
40,0.3162
41,0.3361
42,0.3359
43,0.3358
44,0.3333
45,0.3154
46,0.3203
47,0.3455
48,0.3333
49,0.3404
50,0.335
51,0.3512
52,0.3779
53,0.3901
54,0.3879
55,0.3917
56,0.3976
57,0.3867
58,0.3797
59,0.3913
60,0.3937
61,0.3946
62,0.3826
63,0.3981
64,0.3899
65,0.3983
66,0.3962
67,0.3963
68,0.4062
69,0.4005
70,0.3995
71,0.4038
72,0.4153
73,0.4267
74,0.4242
75,0.4378
76,0.4374
77,0.4489
78,0.4511
79,0.4495
80,0.4635
81,0.4705
82,0.4771
83,0.4774
84,0.477
85,0.4849
86,0.4868
87,0.4811
88,0.4837
89,0.4848
90,0.4815
91,0.4779
92,0.481
93,0.4834
94,0.4786
95,0.4777
96,0.4793
97,0.4802
98,0.486
99,0.4898
100,0.4936
101,0.4902
102,0.4853
103,0.4873
104,0.4881
105,0.4888
106,0.4896
107,0.4903
108,0.4883
