round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
122,0.5267,0.4305,0.6564,0.6617,0.7881,0.8176
123,0.5271,0.4305,0.6547,0.6614,0.7889,0.8183
124,0.5271,0.4305,0.6507,0.6583,0.788,0.8171
125,0.529,0.4305,0.6498,0.6577,0.7883,0.8178
126,0.5291,0.4305,0.6497,0.656,0.7873,0.8179
127,0.529,0.4305,0.6493,0.6559,0.7874,0.8184
128,0.5288,0.4305,0.6492,0.6544,0.788,0.8193
129,0.5293,0.4305,0.6486,0.6524,0.7887,0.82
130,0.5296,0.4305,0.6489,0.6519,0.7882,0.8203
131,0.5303,0.4305,0.649,0.6502,0.7885,0.8208
132,0.5301,0.4305,0.6464,0.6473,0.7882,0.8213
133,0.5295,0.4305,0.6456,0.6465,0.7882,0.8218
134,0.5281,0.4305,0.6445,0.6453,0.7882,0.8225
135,0.5286,0.4305,0.6428,0.6439,0.7873,0.8227
136,0.5291,0.4305,0.641,0.6435,0.7863,0.8227
137,0.5289,0.4305,0.6393,0.6421,0.7853,0.8226
138,0.5294,0.4305,0.6382,0.6419,0.7849,0.8227
139,0.5296,0.4305,0.6363,0.6411,0.7844,0.8227
140,0.5283,0.4305,0.6348,0.6407,0.7834,0.8222
141,0.528,0.4305,0.6339,0.6404,0.7838,0.8219
142,0.528,0.4305,0.6329,0.64,0.7839,0.8216
143,0.5275,0.4305,0.6325,0.6399,0.7838,0.8212
144,0.5272,0.4305,0.6324,0.6395,0.7832,0.82
